url	title	macro_area	indirizzo	keyword_ristorante	orario_apertura	ranking	total_ranking
https://deliveroo.it/menu/milano/tortona/ristorante-hazama-milano?day=today&geohash=u0nd8be8xnqv&time=ASAP	Ristorante Hazama	Tortona	Via Savona, 41, Milano, 20144	['Giapponese']	Aperti fino alle 21:30	5	20 
https://deliveroo.it/menu/milano/porta-romana/bar-deste?day=today&geohash=u0nd8be8xnqv&time=ASAP	Bar D’Este	Porta Romana	Via Alfredo Oriani, 2, Milano, 20122	['Italiano', 'Sandwich', 'Insalate', 'Piadina']	Aperti fino alle 15:00	4.9	12 
https://deliveroo.it/menu/milano/missori/panarello-piazza-san-nazaro?day=today&geohash=u0nd8be8xnqv&time=ASAP	Panarello	Missori	Piazza San Nazaro in Brolo, 15, Milano, 20122	['Dessert']	Aperti fino alle 18:45	4.8	50+ 
https://deliveroo.it/menu/milano/medaglie-doro/giannasi-dal-1967?day=today&geohash=u0nd8be8xnqv&time=ASAP	Giannasi Dal 1967	Medaglie d'oro	Piazza Bruno Buozzi 2, Milano, 20135	['Italiano', 'Pollo', 'Vegetariano']	Aperti fino alle 20:00	4.7	50+ 
https://deliveroo.it/menu/milano/bocconi/mint-cafe?day=today&geohash=u0nd8be8xnqv&time=ASAP	MINT cafe Japanese Bowls&Noodles	Bocconi	Viale Bligny 15, Milano, 20136	['Giapponese', 'Noodles', 'Healthy']	Aperti fino alle 23:00	4.7	50+ 
https://deliveroo.it/menu/milano/ticinese/gelateria-la-romana-milano?day=today&geohash=u0nd8be8xnqv&time=ASAP	Gelateria La Romana	Ticinese	Viale Col di Lana 2, Milano, 20136	['Italiano', 'Dessert', 'Gelato']	Aperti fino alle 23:00	4.7	50+ 
https://deliveroo.it/menu/milano/santambrogio/oasi-del-gelato?day=today&geohash=u0nd8be8xnqv&time=ASAP	Oasi del gelato	Sant'Ambrogio	Via dei Fabbri 26, Milano, 20123	['Italiano', 'Gelato', 'Dessert']	Aperti fino alle 23:59	4.7	50+ 
https://deliveroo.it/menu/milano/colonne-di-san-lorenzo/king-of-salads?day=today&geohash=u0nd8be8xnqv&time=ASAP	Green Day - Natural food and bar	Colonne di San Lorenzo	Via San Vito 26, Milano, 20123	['Italiano', 'Vegetariano', 'Insalate', 'Healthy']	Aperti fino alle 16:00	4.7	50+ 
https://deliveroo.it/menu/milano/tortona/gusto-17-navigli?day=today&geohash=u0nd8be8xnqv&time=ASAP	Gusto 17	Tortona	Via Savona 17, Milano, 20144	['Italiano', 'Dessert', 'Gelato']	Aperti fino alle 23:30	4.7	50+ 
https://deliveroo.it/menu/milano/missori/gastronomia-yamamoto?day=today&geohash=u0nd8be8xnqv&time=ASAP	Gastronomia Yamamoto	Missori	Via Amedei, 5, angolo Via Fieno, Milano, 20123	['Giapponese', 'Curry']	Aperti fino alle 21:30	4.7	50+ 
https://deliveroo.it/menu/milano/magenta/chocolat-via-boccaccio?day=today&geohash=u0nd8be8xnqv&time=ASAP	Chocolat Milano	Magenta	Via Boccaccio 9,, Milano, 20123	['Gelato', 'Italiano']	Aperti fino alle 23:30	4.7	50+ 
https://deliveroo.it/menu/milano/guastalla/coll-bubble-tea-and-coffee?day=today&geohash=u0nd8be8xnqv&time=ASAP	Coll Bubble Tea & Coffee	Guastalla	Corso di Porta Vittoria 58, Milano, 20122	['Bubble Tea', 'Asiatico']	Aperti fino alle 19:30	4.7	50+ 
https://deliveroo.it/menu/milano/bocconi/ben-and-jerrys-porta-romana?day=today&geohash=u0nd8be8xnqv&time=ASAP	Ben & Jerry's	Bocconi	Viale Bligny 36, Milano, 20136	['Italiano', 'Gelato', 'Gelato Italiano']	Aperti fino alle 14:30	4.7	50+ 
https://deliveroo.it/menu/milano/porta-romana/haagen-dazs-bligny?day=today&geohash=u0nd8be8xnqv&time=ASAP	Häagen-Dazs	Porta Romana	Viale Bligny 43,, Milano, 20136	['Italiano', 'Gelato']	Aperti fino alle 23:00	4.7	47 
https://deliveroo.it/menu/milano/de-angeli-ravizza/ziva-pasticceria?day=today&geohash=u0nd8be8xnqv&time=ASAP	Ziva Pasticceria	De Angeli - Ravizza	Via Federico Faruffini, 2, Milano, 20149	['Dessert', 'Italiano', 'Colazione']	Aperti fino alle 19:30	4.7	50+ 
