url	title	indirizzo	keyword_ristorante	ranking	total_ranking
https://www.ubereats.com/milano/food-delivery/poke-house-city-life/-LIctIUES9-IXPN8vXLOjA	Poke House - Ticinese 🐠	Via Pasquale Paoli, 3, 20143 Milano Mi, Italia, Lombardia 20143	$ • Hawaiian • Salads • Healthy • Vegetarian • Seafood	4.5	(200+)
https://www.ubereats.com/milano/food-delivery/mcdonalds-antonini/U4vDOyxhTeSRmcMdL1F7hA	McDonald's® - Antonini	Via Giacomo Antonini, 28, Milano, Lombardia 20141	$ • Fast Food • American • Wings	4	(200+)
https://www.ubereats.com/milano/food-delivery/pizzeria-gino-sorbillo/NMwzt8kQSxeDUgcJLGCZlQ	Pizzeria Gino Sorbillo	Via Montevideo, 4, Milano, Lombardia 20144	$ • Pizza • Deli • Italian	4.3	(200+)
https://www.ubereats.com/milano/food-delivery/pizzium-anfossi/cGCHB5hNScSZh8-llKZ6tA	Pizzium - Anfossi	Via Augusto Anfossi, 1, Milano, Lombardia 20135	$$ • Pizza • Italian • Mediterranean • Gourmet	4.1	(200+)
https://www.ubereats.com/milano/food-delivery/kfc-vittorio-emanuele/UAG6pybWQ22fzTmy8-rfyg	KFC - Vittorio Emanuele	Via Privata Della Passarella, 4, 20122 Milano Mi, Italia,	$ • Wings • American • Fast Food	4.2	(165)
https://www.ubereats.com/milano/food-delivery/fusho-sushi-burrito-sarpi/aT0DJQv2SxuxmniUbCvowQ	⚡ Fusho - Sushi Burrito - Sarpi ⚡	Via Paolo Sarpi, 50, 20154 Milano Mi, Italia,	$$ • Sushi • Asian Fusion • Japanese	4.6	(200+)
https://www.ubereats.com/milano/food-delivery/i-love-poke-porta-romana/uDACv6EbQ9y5Ja06L2Ngaw	I Love Poke - Porta Romana	Corso Di Porta Romana, 79, Milano, Lombardia 20122	$$ • Healthy • Vegetarian • Salads • Hawaiian • Seafood	4.1	(200+)
https://www.ubereats.com/milano/food-delivery/burgez-colonne/lUUJ-yd3R5K22C44mLXN_A	BURGEZ 🍔 🍔 - Colonne	Corso Di Porta Ticinese, 14, Milano, Lombardia 20123	$ • Burgers • Fast Food • American	4.3	(186)
https://www.ubereats.com/milano/food-delivery/temakinho-porta-romana/FitYXWTzT22TRXwT_2HBvg	Temakinho - Porta Romana	Via Lazzaro Papi, 10, Milano, Lombardia 20135	$$ • Japanese • Sushi • Rice-bowls • Seafood	4.2	(200+)
https://www.ubereats.com/milano/food-delivery/ichi-station/qRBBhqncT72lBfS2Ymc3FA	Ichi Station	Viale Col Di Lana, 3, Milano, Lombardia 20136	$$ • Sushi • Japanese • Asian	4.6	(200+)
https://www.ubereats.com/milano/food-delivery/cocciuto-porta-romana/VxCBQbIfTlWYpRXwM6OPfg	Cocciuto - Porta Romana	Via Gian Carlo Passeroni, 2, 20135 Milano Mi, Italy, Corso Lodi,	$$ • Italian • Mediterranean • Pizza	4.4	(145)
https://www.ubereats.com/milano/food-delivery/rossopomodoro-porta-romana/UbzJFgQrS6OBplqvUKm87Q	Rossopomodoro - Porta Romana	Viale Sabotino, 19, Milano, Lombardia 20135	$ • Italian • Mediterranean • Pizza	4.1	(170)
https://www.ubereats.com/milano/food-delivery/cik-make-love-%26-eat-fried-chicken/fIfLIjfrSHOMNU8bt3aZNg	CIK - Make Love & Eat Fried Chicken	Via Lodovico Montegani, 1, Milano, Lombardia 20141	$ • Wings • Fast Food • Friterie • Burgers	4.5	(97)
https://www.ubereats.com/milano/food-delivery/old-wild-west-viale-cassala/OY1vNYxjRhejraEiacmEFQ	Old Wild West - Viale Cassala	Viale Cassala, 14, Milano, Lombardia 20143	$$ • American • Burgers • Tex Mex	4.4	(84)
https://www.ubereats.com/milano/food-delivery/cera-una-volta-una-piada-coni-zugna/7ZY_sWt8TAaBslQxzV6kIQ	C'era Una Volta Una Piada - Coni Zugna	Viale Coni Zugna, 37, 20144 Milano, Italy, Lombardia 20144	$ • Sandwich • Italian • Street Food	4.5	(109)
https://www.ubereats.com/milano/food-delivery/greek-fusion-navigli/-dMbUQpGRECUKUaL73wyVw	Greek Fusion - Navigli	Ripa Di Porta Ticinese, 15, Milano, Lombardia 20143	$ • Greek • Mediterranean • Vegetarian	4.2	(200+)
https://www.ubereats.com/milano/food-delivery/trattoria-cinese-la-muraglia/Y1hyqnzeTLOcz7dPI4FbhQ	Trattoria Cinese La Muraglia	Viale Toscana 19, Milano, 20136	$ • Chinese • Vegan • Vegetarian • Seafood • Chicken	4.3	(111)
https://www.ubereats.com/milano/food-delivery/gelateria-orso-bianco/mCEWrbSYQlS2KIPvmakEzQ	Gelateria Orso Bianco	Via Casale, 7, Milano, Lombardia 20144	$ • Desserts • Ice Cream and Frozen Yogurt • Italian	4.7	(143)
https://www.ubereats.com/milano/food-delivery/bottega-ghiotta-diaz/FVQy3a1kSTSTYam1uls22g	Bottega Ghiotta - Diaz	Piazza Armando Diaz, 6, Milano, Lombardia 20123	Italian • Pizza • Deli	4.2	(51)
https://www.ubereats.com/milano/food-delivery/premiata-cremeria-rossi/JXYZeB_1QLiXI01_oH6HlA	Premiata Cremeria Rossi	Piazza Simone Bolivar, 7, Milano, Lombardia 20146	$ • Desserts • Ice Cream and Frozen Yogurt	4.7	(185)
https://www.ubereats.com/milano/food-delivery/macha-poke-col-di-lana/NYB3PtgESnCl_HdKDEONAQ	Macha Pokè - Col di Lana	Viale Col Di Lana 5, Milano, 20136	Japanese • Hawaiian • Seafood • Healthy • Vegetarian	3.9	(58)
https://www.ubereats.com/milano/food-delivery/streat-food%26beers-tortona/InXkORABRQe1VVgbzuc8lQ	STREAT - Food&Beers - Tortona	Via California, 22, 20144 Milano, Italy, Lombardia 20144	$ • Burgers • Street Food	4.3	(137)
https://www.ubereats.com/milano/food-delivery/fratelli-la-bufala-cimarosa/lZN-6vjBR6qoM3qdPdB7Wg	Fratelli La Bufala - Cimarosa	Via Domenico Cimarosa, 13, Milano, Lombardia 20144	$ • Pizza • Pasta • Italian	4.4	(105)
https://www.ubereats.com/milano/food-delivery/jollibee/yEx4pSlSRR6UUZt29eFPLA	Jollibee	Piazza Armando Diaz, 7, 20123 Milano Mi, Italy,	$ • Asian Fusion • Chicken • Filipino	4.2	(136)
https://www.ubereats.com/milano/food-delivery/cioccolatitaliani-navigli/DjT1eThqRsq8lc2B6tuxvA	Cioccolatitaliani - Navigli	Alzaia Naviglio Grande, 44, Milano, Lombardia 20144	$ • Ice Cream and Frozen Yogurt • Pastry • Desserts	4.4	(138)
https://www.ubereats.com/milano/food-delivery/donna-angela/pNcdhJH9QY2afqokR61lSQ	Donna Angela	Via Paolo Glovio 30, Milano, 20144	$$ • Pizza • Italian • Mediterranean • Vegetarian	3.9	(110)
https://www.ubereats.com/milano/food-delivery/mint-cafe/AiXnAZPZSg2XeEh9ARaJAQ	Mint Cafe	Viale Bligny, 15, Milano, 20136	$$ • Asian • Japanese • Noodles • Healthy	4.9	(38)
https://www.ubereats.com/milano/food-delivery/wagamama/5uyWYJBYSHKJdO2swZ9qZw	Wagamama	Via S. Pietro All'Orto, 11, 20121 Milano Mi, Italy, Italy 20121	$$ • Vegetariano • Asian Fusion • South East Asian	4.3	(76)
https://www.ubereats.com/milano/food-delivery/kona-milano/T1jUwrUiQ2-qol5184LoPQ	Kona Milano	Corso Di Porta Vittoria, 49, Milano, Lombardia 20122	$$ • Hawaiian • Healthy • Salads	4.5	(58)
https://www.ubereats.com/milano/food-delivery/don-raffaele-trattoria-pizzeria/lS-AZaSsQ-SiXCGr23AaSQ	Don Raffaele - Trattoria Pizzeria	Via Roncaglia, 3, Milano, 20146	$$ • Italian • Pasta • Steak • Pizza	4.5	(43)
https://www.ubereats.com/milano/food-delivery/grom-corso-xxii-marzo/hI6QKQ_nRmuANNsyoBI1Gg	GROM - Corso XXII Marzo	Corso Xxii Marzo, 5, Milano, Lombardia 20129	$ • Ice Cream and Frozen Yogurt • Desserts	4.7	(64)
https://www.ubereats.com/milano/food-delivery/grouse/dOlR3b4yQxWLLV6UCk2LXA	Grouse	Viale Monte Nero, 34, 20135 Milano Mi, Italy, Italy 20135	$ • Street Food • Italiano • Chicken	4.6	(51)
https://www.ubereats.com/milano/food-delivery/al-noor-ristorante-indiano/-kpU9SKnSHOlk1V4dpXDyQ	Al Noor - Ristorante Indiano	Via Giuseppe Ripamonti, 15, Milano, Lombardia 20135	$ • West Indian • Vegetarian Friendly	4.4	(43)
https://www.ubereats.com/milano/food-delivery/wok-on-the-go/6sGkT2IORfKxRpHEPPBRpg	Wok On The Go	Via Urbano Iii, 2, Milano, Lombardia 20123	$ • Seafood • Healthy • Thai	4.1	(14)
